date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
30/08/2011,49.54691637,49.78195264,49.06668009,49.32585522,104480704,389.99,0,391.84,386.21,388.25,1,14925800
31/08/2011,48.89135574,49.81244383,48.51402724,49.62060341,130646730,384.83,0,392.08,381.86,390.57,1,18663800
01/09/2011,48.40857853,49.21023008,48.36919408,49.01713191,85931385,381.03,0,387.3399,380.72,385.82,1,12275900
02/09/2011,47.52179304,48.02362724,47.23974951,47.60945521,109734909,374.05,0,378,371.83,374.74,1,15676400
06/09/2011,48.24468838,48.31964589,46.56005003,46.67312153,127424627,379.74,0,380.33,366.48,367.37,1,18203500
07/09/2011,48.77701377,48.98918165,48.53181377,48.98409978,87644287,383.93,0,385.6,382,385.56,1,12520600
08/09/2011,48.80369356,49.37159201,48.57119822,48.58263242,104039704,384.14,0,388.61,382.31,382.4,1,14862800
09/09/2011,47.95756299,49.0400003,47.64502827,48.77701377,141203441,377.48,0,386,375.02,383.93,1,20171900
12/09/2011,48.2700977,48.38952154,47.24864278,47.75555884,116958216,379.94,0,380.88,371.9,375.89,1,16708300
13/09/2011,48.86467595,49.06668009,48.30948216,48.5496003,110140210,384.62,0,386.21,380.25,382.14,1,15734300
14/09/2011,49.45925419,49.82895989,49.00950911,49.16958787,133681233,389.3,0,392.21,385.76,387.02,1,19097300
15/09/2011,49.92424486,50.01317751,49.53548217,49.72986352,104454804,392.96,0,393.66,389.9,391.43,1,14922100
16/09/2011,50.88217648,50.88255762,50.18723139,50.25202518,174628474,400.5,0,400.503,395.03,395.54,1,24946900
19/09/2011,52.2962055,52.49948011,50.20940103,50.43751326,205965405,411.63,0,413.23,395.2045,397,1,29423600
20/09/2011,52.52743037,53.72293919,52.24030498,52.75611431,193938693,413.45,0,422.86,411.19,415.25,1,27705500
21/09/2011,52.36099928,53.56158996,52.34321276,53.31384903,151494151,412.14,0,421.59,412,419.64,1,21642000
22/09/2011,51.04987803,52.0662511,50.39939927,50.94951119,242120442,401.82,0,409.82,396.7,401.03,1,34588600
23/09/2011,51.36495368,51.67494747,50.79959617,50.85422622,136569436,404.3,0,406.74,399.85,400.28,1,19509900
26/09/2011,51.22139099,51.32429876,49.71334745,50.80086663,203219303,403.17,0,403.98,391.3,399.86,1,29031300
27/09/2011,50.72463865,51.99383451,50.57218269,51.92777027,158124558,399.26,0,409.25,398.06,408.73,1,22589200
28/09/2011,50.43878373,51.29380757,50.37526041,50.84279202,107409507,397.01,0,403.74,396.51,400.19,1,15344200
