date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
11/12/2014,528.34,533.92,527.1,527.8,1610964,528.34,0,533.92,527.1,527.8,1,1610964
12/12/2014,518.66,528.5,518.66,523.51,1989117,518.66,0,528.5,518.66,523.51,1,1989117
15/12/2014,513.8,523.1,513.27,522.74,2812786,513.8,0,523.1,513.27,522.74,1,2812786
16/12/2014,495.39,513.05,489,511.56,3953371,495.39,0,513.05,489,511.56,1,3953371
17/12/2014,504.89,507,496.81,497,2875281,504.89,0,507,496.81,497,1,2875281
18/12/2014,511.1,513.87,504.7,512.95,2918730,511.1,0,513.87,504.7,512.95,1,2918730
19/12/2014,516.35,517.72,506.9106,511.51,3680148,516.35,0,517.72,506.9106,511.51,1,3680148
22/12/2014,524.87,526.46,516.08,516.08,2723599,524.87,0,526.46,516.08,516.08,1,2723599
23/12/2014,530.59,534.56,526.29,527,2191567,530.59,0,534.56,526.29,527,1,2191567
24/12/2014,528.77,531.759,527.02,530.51,704035,528.77,0,531.759,527.02,530.51,1,704035
26/12/2014,534.03,534.25,527.31,528.77,1037727,534.03,0,534.25,527.31,528.77,1,1037727
29/12/2014,530.33,535.48,530.011,532.19,2276104,530.33,0,535.48,530.011,532.19,1,2276104
30/12/2014,530.42,531.15,527.13,528.09,873923,530.42,0,531.15,527.13,528.09,1,873923
31/12/2014,526.4,532.6,525.8,531.25,1371819,526.4,0,532.6,525.8,531.25,1,1371819
02/01/2015,524.81,531.27,524.1,529.01,1446662,524.81,0,531.27,524.1,529.01,1,1446662
05/01/2015,513.87,524.33,513.06,523.26,2054238,513.87,0,524.33,513.06,523.26,1,2054238
06/01/2015,501.96,516.175,501.05,515,2891950,501.96,0,516.175,501.05,515,1,2891950
07/01/2015,501.1,507.244,499.65,507,2059366,501.1,0,507.244,499.65,507,1,2059366
08/01/2015,502.68,503.48,491,497.99,3344395,502.68,0,503.48,491,497.99,1,3344395
09/01/2015,496.17,504.92,494.79,504.76,2054956,496.17,0,504.92,494.79,504.76,1,2054956
12/01/2015,492.55,495.976,487.56,494.94,2320446,492.55,0,495.976,487.56,494.94,1,2320446
13/01/2015,496.18,502.98,492.39,498.84,2365687,496.18,0,502.98,492.39,498.84,1,2365687
14/01/2015,500.87,503.23,493,494.65,2229638,500.87,0,503.23,493,494.65,1,2229638
15/01/2015,501.79,505.68,497.76,505.57,2711355,501.79,0,505.68,497.76,505.57,1,2711355
16/01/2015,508.08,508.19,500,500.01,2292043,508.08,0,508.19,500,500.01,1,2292043
20/01/2015,506.9,512.5,506.016,511,2225922,506.9,0,512.5,506.016,511,1,2225922
21/01/2015,518.04,519.28,506.2,507.25,2262455,518.04,0,519.28,506.2,507.25,1,2262455
22/01/2015,534.39,536.33,519.7,521.48,2669558,534.39,0,536.33,519.7,521.48,1,2669558
23/01/2015,539.95,542.17,533,535.59,2275485,539.95,0,542.17,533,535.59,1,2275485
